zip,city,state,lat,lng
90266,"Manhattan Beach",CA,33.8896,-118.3996
90267,"Manhattan Beach",CA,33.7866,-118.2987
90270,"Maywood",CA,33.989,-118.1877
90272,"Pacific Palisades",CA,34.0481,-118.5265
90274,"Palos Verdes Peninsula",CA,33.7669,-118.3806
90275,"Rancho Palos Verdes",CA,33.7515,-118.367
90277,"Redondo Beach",CA,33.8307,-118.3832
90278,"Redondo Beach",CA,33.8707,-118.3715
90280,"South Gate",CA,33.9462,-118.2013
90290,"Topanga",CA,34.1076,-118.6023
90291,"Venice",CA,33.9938,-118.4635
90292,"Marina Del Rey",CA,33.9779,-118.4525
90293,"Playa Del Rey",CA,33.9577,-118.4373
90294,"Venice",CA,33.9908,-118.4601
90295,"Marina Del Rey",CA,33.7866,-118.2987
90296,"Playa Del Rey",CA,33.7866,-118.2987
90301,"Inglewood",CA,33.955,-118.3556
90302,"Inglewood",CA,33.9745,-118.3548
90303,"Inglewood",CA,33.9377,-118.3321
90304,"Inglewood",CA,33.9379,-118.3586
90305,"Inglewood",CA,33.9583,-118.3259
90306,"Inglewood",CA,33.9617,-118.3531
90307,"Inglewood",CA,33.7866,-118.2987
90308,"Inglewood",CA,33.9617,-118.3531
90309,"Inglewood",CA,33.7866,-118.2987
90310,"Inglewood",CA,33.7866,-118.2987
90311,"Inglewood",CA,33.9617,-118.3531
90312,"Inglewood",CA,33.9617,-118.3531
90401,"Santa Monica",CA,34.0176,-118.4907
90402,"Santa Monica",CA,34.0349,-118.503
90403,"Santa Monica",CA,34.0287,-118.4924
90404,"Santa Monica",CA,34.0268,-118.4733
90405,"Santa Monica",CA,34.01,-118.4717
90406,"Santa Monica",CA,34.0195,-118.4912
90407,"Santa Monica",CA,34.0195,-118.4912
90408,"Santa Monica",CA,34.0195,-118.4912
90409,"Santa Monica",CA,34.0195,-118.4912
90410,"Santa Monica",CA,34.0195,-118.4912
90411,"Santa Monica",CA,34.0195,-118.4912
90501,"Torrance",CA,33.8268,-118.3118
90502,"Torrance",CA,33.8286,-118.292
90503,"Torrance",CA,33.8397,-118.3542
90504,"Torrance",CA,33.8708,-118.3295
90505,"Torrance",CA,33.8106,-118.3507
90506,"Torrance",CA,33.7866,-118.2987
90507,"Torrance",CA,33.7866,-118.2987
90508,"Torrance",CA,33.7866,-118.2987
90509,"Torrance",CA,33.7866,-118.2987
90510,"Torrance",CA,33.7866,-118.2987
90601,"Whittier",CA,34.0011,-118.0371
90602,"Whittier",CA,33.9693,-118.0337
90603,"Whittier",CA,33.9432,-117.9927
90604,"Whittier",CA,33.9299,-118.0121
90605,"Whittier",CA,33.9413,-118.0356
90606,"Whittier",CA,33.9777,-118.0658
90607,"Whittier",CA,33.9792,-118.0328
90608,"Whittier",CA,33.9792,-118.0328
90609,"Whittier",CA,33.9792,-118.0328
90610,"Whittier",CA,33.9792,-118.0328
90620,"Buena Park",CA,33.8439,-118.008
90621,"Buena Park",CA,33.8772,-117.9893
90622,"Buena Park",CA,33.8462,-118.0031
90623,"La Palma",CA,33.8491,-118.0398
90624,"Buena Park",CA,33.8584,-118.0033
90630,"Cypress",CA,33.8181,-118.0357
90631,"La Habra",CA,33.9331,-117.9493
90632,"La Habra",CA,33.9143,-117.9547
90633,"La Habra",CA,33.9345,-117.9452
90637,"La Mirada",CA,33.9172,-118.012
90638,"La Mirada",CA,33.9067,-118.0101
90639,"La Mirada",CA,33.9058,-118.0182
90640,"Montebello",CA,34.0133,-118.113
90650,"Norwalk",CA,33.9056,-118.0818
90651,"Norwalk",CA,33.9022,-118.0817
90652,"Norwalk",CA,33.9022,-118.0817
90660,"Pico Rivera",CA,33.9886,-118.0883
90661,"Pico Rivera",CA,33.9831,-118.0967
90662,"Pico Rivera",CA,33.9831,-118.0967
90670,"Santa Fe Springs",CA,33.9464,-118.0838
90671,"Santa Fe Springs",CA,33.9472,-118.0853
90680,"Stanton",CA,33.7991,-117.9956
90701,"Artesia",CA,33.8654,-118.0731
90702,"Artesia",CA,33.8658,-118.0831
90703,"Cerritos",CA,33.8669,-118.0686
90704,"Avalon",CA,33.332,-118.3437
90706,"Bellflower",CA,33.8867,-118.1265
90707,"Bellflower",CA,33.8817,-118.117
90710,"Harbor City",CA,33.797,-118.2991
90711,"Lakewood",CA,33.7866,-118.2987
90712,"Lakewood",CA,33.8512,-118.1457
90713,"Lakewood",CA,33.8473,-118.1115
90714,"Lakewood",CA,33.8512,-118.1339
90715,"Lakewood",CA,33.8405,-118.0767
90716,"Hawaiian Gardens",CA,33.8296,-118.073
90717,"Lomita",CA,33.7938,-118.3172
90720,"Los Alamitos",CA,33.7956,-118.0648
90721,"Los Alamitos",CA,33.8023,-118.069
90723,"Paramount",CA,33.8969,-118.1632
90731,"San Pedro",CA,33.7339,-118.2914
90732,"San Pedro",CA,33.742,-118.3121
90733,"San Pedro",CA,33.7866,-118.2987
90734,"San Pedro",CA,33.7866,-118.2987
90740,"Seal Beach",CA,33.7602,-118.0808
90742,"Sunset Beach",CA,33.7164,-118.069
90743,"Surfside",CA,33.7264,-118.0833
90744,"Wilmington",CA,33.7855,-118.2645
90745,"Carson",CA,33.823,-118.2684
90746,"Carson",CA,33.8584,-118.2554
90747,"Carson",CA,33.8671,-118.2538
90748,"Wilmington",CA,33.78,-118.2626
90749,"Carson",CA,33.7866,-118.2987
90755,"Signal Hill",CA,33.8029,-118.1677
90801,"Long Beach",CA,33.767,-118.1892
90802,"Long Beach",CA,33.7706,-118.182
90803,"Long Beach",CA,33.7619,-118.1341
90804,"Long Beach",CA,33.7857,-118.1357
90805,"Long Beach",CA,33.8635,-118.1801
90806,"Long Beach",CA,33.8045,-118.1876
90807,"Long Beach",CA,33.8315,-118.1811
90808,"Long Beach",CA,33.8241,-118.1103
90809,"Long Beach",CA,33.7866,-118.2987
90810,"Long Beach",CA,33.8193,-118.2325
90813,"Long Beach",CA,33.782,-118.1835
90814,"Long Beach",CA,33.7716,-118.148
90815,"Long Beach",CA,33.7939,-118.1192
90822,"Long Beach",CA,33.7927,-118.1638
90831,"Long Beach",CA,33.7678,-118.1994
90832,"Long Beach",CA,33.767,-118.1892
90833,"Long Beach",CA,33.7678,-118.1994
90834,"Long Beach",CA,33.7678,-118.1994
90835,"Long Beach",CA,33.7678,-118.1994
90840,"Long Beach",CA,33.7843,-118.1157
90842,"Long Beach",CA,33.7866,-118.2987
90844,"Long Beach",CA,33.767,-118.1892
90846,"Long Beach",CA,33.8249,-118.1504
90847,"Long Beach",CA,33.7866,-118.2987
90848,"Long Beach",CA,33.7866,-118.2987
90853,"Long Beach",CA,33.7866,-118.2987
90895,"Carson",CA,33.8392,-118.2202
90899,"Long Beach",CA,33.767,-118.1892
91001,"Altadena",CA,34.1912,-118.1392
91003,"Altadena",CA,34.1897,-118.1312
91006,"Arcadia",CA,34.1324,-118.0264
91007,"Arcadia",CA,34.1243,-118.0515
91008,"Duarte",CA,34.149,-117.9644
91009,"Duarte",CA,34.1395,-117.9773
91010,"Duarte",CA,34.1407,-117.9567
91011,"La Canada Flintridge",CA,34.2217,-118.2051
91012,"La Canada Flintridge",CA,34.1992,-118.1879
91016,"Monrovia",CA,34.144,-118.0014
91017,"Monrovia",CA,34.1481,-117.999
91020,"Montrose",CA,34.2114,-118.2305
91021,"Montrose",CA,34.2064,-118.2242
91023,"Mount Wilson",CA,34.2264,-118.0662
91024,"Sierra Madre",CA,34.1651,-118.0519
91025,"Sierra Madre",CA,34.1617,-118.0528
91030,"South Pasadena",CA,34.1109,-118.1547
91031,"South Pasadena",CA,34.1161,-118.1503
91040,"Sunland",CA,34.2618,-118.3371
91041,"Sunland",CA,34.2669,-118.3023
91042,"Tujunga",CA,34.2544,-118.2849
91043,"Tujunga",CA,34.2522,-118.2884
91046,"Verdugo City",CA,34.2114,-118.2395
91066,"Arcadia",CA,34.1397,-118.0353
91077,"Arcadia",CA,34.1397,-118.0353
91101,"Pasadena",CA,34.1468,-118.1391
91102,"Pasadena",CA,34.1478,-118.1445
91103,"Pasadena",CA,34.1669,-118.1551
91104,"Pasadena",CA,34.1678,-118.1261
91105,"Pasadena",CA,34.1355,-118.1636
91106,"Pasadena",CA,34.1435,-118.1266
91107,"Pasadena",CA,34.151,-118.0889
91108,"San Marino",CA,34.1207,-118.1117
91109,"Pasadena",CA,34.1478,-118.1445
91110,"Pasadena",CA,34.1478,-118.1445
91114,"Pasadena",CA,34.1478,-118.1445
91115,"Pasadena",CA,34.1478,-118.1445
91116,"Pasadena",CA,34.1478,-118.1445
91117,"Pasadena",CA,34.1478,-118.1445
91118,"San Marino",CA,34.1214,-118.1065
91121,"Pasadena",CA,34.1478,-118.1445
91123,"Pasadena",CA,34.1478,-118.1445
91124,"Pasadena",CA,34.1478,-118.1445
91125,"Pasadena",CA,34.1478,-118.1445
91126,"Pasadena",CA,34.1478,-118.1445
91129,"Pasadena",CA,34.1478,-118.1445
91182,"Pasadena",CA,34.1478,-118.1445
91184,"Pasadena",CA,34.1478,-118.1445
91185,"Pasadena",CA,34.1478,-118.1445
91188,"Pasadena",CA,34.1478,-118.1445
91189,"Pasadena",CA,34.1478,-118.1445
91199,"Pasadena",CA,34.1478,-118.1436
91201,"Glendale",CA,34.1716,-118.2899
91202,"Glendale",CA,34.1652,-118.2656
91203,"Glendale",CA,34.1517,-118.2636
91204,"Glendale",CA,34.1379,-118.2599
91205,"Glendale",CA,34.1378,-118.2425
91206,"Glendale",CA,34.1556,-118.2322
91207,"Glendale",CA,34.1649,-118.2451
91208,"Glendale",CA,34.1921,-118.235
91209,"Glendale",CA,34.1425,-118.2551
91210,"Glendale",CA,34.1425,-118.2551
91214,"La Crescenta",CA,34.2316,-118.2457
91221,"Glendale",CA,34.1425,-118.2551
91222,"Glendale",CA,34.1425,-118.2551
91224,"La Crescenta",CA,34.2242,-118.2401
91225,"Glendale",CA,34.1425,-118.2551
91226,"Glendale",CA,34.1425,-118.2551
91301,"Agoura Hills",CA,34.1227,-118.7573
91302,"Calabasas",CA,34.1419,-118.6641
91303,"Canoga Park",CA,34.1993,-118.5983
91304,"Canoga Park",CA,34.2197,-118.6111
91305,"Canoga Park",CA,34.2011,-118.5981
91306,"Winnetka",CA,34.2092,-118.5749
91307,"West Hills",CA,34.1963,-118.6389
91308,"West Hills",CA,34.1973,-118.644
91309,"Canoga Park",CA,34.2011,-118.5981
91310,"Castaic",CA,34.4889,-118.6229
91311,"Chatsworth",CA,34.2583,-118.5914
91313,"Chatsworth",CA,34.2572,-118.6012
91316,"Encino",CA,34.1655,-118.5175
91319,"Newbury Park",CA,34.1842,-118.9107
91320,"Newbury Park",CA,34.1774,-118.9358
91321,"Newhall",CA,34.3795,-118.523
91322,"Newhall",CA,34.3847,-118.5309
91324,"Northridge",CA,34.2367,-118.5466
91325,"Northridge",CA,34.2353,-118.5188
91326,"Porter Ranch",CA,34.2619,-118.582
91327,"Northridge",CA,34.2283,-118.5368
91328,"Northridge",CA,34.2283,-118.5368
91329,"Northridge",CA,34.2283,-118.5368
91330,"Northridge",CA,34.2283,-118.5368
91331,"Pacoima",CA,34.2556,-118.4208
91333,"Pacoima",CA,34.2625,-118.427
91334,"Pacoima",CA,34.2625,-118.427
91335,"Reseda",CA,34.2007,-118.5391
91337,"Reseda",CA,34.2011,-118.5365
91340,"San Fernando",CA,34.2875,-118.4352
91341,"San Fernando",CA,34.2819,-118.439
91342,"Sylmar",CA,34.3054,-118.4322
91343,"North Hills",CA,34.2366,-118.4758
91344,"Granada Hills",CA,34.2771,-118.4992
91345,"Mission Hills",CA,34.2619,-118.4587
91346,"Mission Hills",CA,34.2572,-118.467
91350,"Santa Clarita",CA,34.4336,-118.5007
91351,"Canyon Country",CA,34.4262,-118.449
91352,"Sun Valley",CA,34.2209,-118.3699
91353,"Sun Valley",CA,34.2175,-118.3704
91354,"Valencia",CA,34.4466,-118.5374
91355,"Valencia",CA,34.3985,-118.5535
91356,"Tarzana",CA,34.1671,-118.5414
91357,"Tarzana",CA,34.1733,-118.554
91358,"Thousand Oaks",CA,34.1706,-118.8376
91359,"Westlake Village",CA,34.1458,-118.8056
91360,"Thousand Oaks",CA,34.2092,-118.8739
91361,"Westlake Village",CA,34.1472,-118.8383
91362,"Thousand Oaks",CA,34.1948,-118.8232
91364,"Woodland Hills",CA,34.1557,-118.6
91365,"Woodland Hills",CA,34.1683,-118.6059
91367,"Woodland Hills",CA,34.1767,-118.6159
91371,"Woodland Hills",CA,34.1683,-118.6059
91372,"Calabasas",CA,34.1578,-118.6384
91376,"Agoura Hills",CA,34.1364,-118.7745
91377,"Oak Park",CA,34.185,-118.7669
91380,"Santa Clarita",CA,34.3917,-118.5426
91381,"Stevenson Ranch",CA,34.3775,-118.6131
91382,"Santa Clarita",CA,34.3917,-118.5426
91383,"Santa Clarita",CA,34.3917,-118.5426
91384,"Castaic",CA,34.4827,-118.6254
91385,"Valencia",CA,34.4436,-118.6095
91386,"Canyon Country",CA,34.4233,-118.472
91387,"Canyon Country",CA,34.4132,-118.426
91390,"Santa Clarita",CA,34.4684,-118.5261
91392,"Sylmar",CA,34.3078,-118.4492
91393,"North Hills",CA,34.2364,-118.4847
91394,"Granada Hills",CA,34.2647,-118.5231
91395,"Mission Hills",CA,34.2572,-118.467
91396,"Winnetka",CA,34.2133,-118.572
91401,"Van Nuys",CA,34.1802,-118.4324
91402,"Panorama City",CA,34.2262,-118.447
91403,"Sherman Oaks",CA,34.1514,-118.4603
91404,"Van Nuys",CA,34.1867,-118.449
91405,"Van Nuys",CA,34.2001,-118.4456
91406,"Van Nuys",CA,34.2006,-118.4868
91407,"Van Nuys",CA,34.1867,-118.449
91408,"Van Nuys",CA,34.1867,-118.449
91409,"Van Nuys",CA,34.1867,-118.449
91410,"Van Nuys",CA,34.1867,-118.449
91411,"Van Nuys",CA,34.1781,-118.4574
91412,"Panorama City",CA,34.2247,-118.4498
91413,"Sherman Oaks",CA,34.1511,-118.4492
91416,"Encino",CA,34.1592,-118.5012
91423,"Sherman Oaks",CA,34.1526,-118.4322
91426,"Encino",CA,34.1592,-118.5012
91436,"Encino",CA,34.151,-118.4882
91470,"Van Nuys",CA,34.1867,-118.449
91482,"Van Nuys",CA,34.1867,-118.449
91495,"Sherman Oaks",CA,34.1511,-118.4492
91496,"Van Nuys",CA,34.1867,-118.449
91499,"Van Nuys",CA,34.1867,-118.449
91501,"Burbank",CA,34.1862,-118.3009
91502,"Burbank",CA,34.1745,-118.3059
91503,"Burbank",CA,34.1808,-118.309
91504,"Burbank",CA,34.2001,-118.3264
91505,"Burbank",CA,34.169,-118.3442
91506,"Burbank",CA,34.1717,-118.3231
91507,"Burbank",CA,34.1808,-118.309
91508,"Burbank",CA,34.1808,-118.309
91510,"Burbank",CA,34.1808,-118.309
91521,"Burbank",CA,34.1808,-118.309
91522,"Burbank",CA,34.1808,-118.309
91523,"Burbank",CA,34.1808,-118.309
91526,"Burbank",CA,34.1808,-118.309
91601,"North Hollywood",CA,34.1687,-118.3713
91602,"North Hollywood",CA,34.151,-118.3663
91603,"North Hollywood",CA,34.1722,-118.379
91604,"Studio City",CA,34.143,-118.3913
91605,"North Hollywood",CA,34.2057,-118.4001
91606,"North Hollywood",CA,34.1872,-118.3865
91607,"Valley Village",CA,34.1672,-118.3989
91608,"Universal City",CA,34.1383,-118.3528
91609,"North Hollywood",CA,34.1722,-118.379
91610,"Toluca Lake",CA,33.7866,-118.2987
91611,"North Hollywood",CA,34.1722,-118.379
91612,"North Hollywood",CA,34.1722,-118.379
91614,"Studio City",CA,34.1486,-118.3965
91615,"North Hollywood",CA,34.1722,-118.379
91616,"North Hollywood",CA,34.1722,-118.379
91617,"Valley Village",CA,34.1649,-118.3965
91618,"North Hollywood",CA,34.1722,-118.379
91701,"Rancho Cucamonga",CA,34.1376,-117.5999
91702,"Azusa",CA,34.1248,-117.9031
91706,"Baldwin Park",CA,34.0964,-117.9682
91708,"Chino",CA,33.954,-117.6404
91709,"Chino Hills",CA,33.9797,-117.7308
91710,"Chino",CA,34.0125,-117.6844
91711,"Claremont",CA,34.1092,-117.7183
91714,"City Of Industry",CA,34.0197,-117.9587
91715,"City Of Industry",CA,34.0197,-117.9587
91716,"City Of Industry",CA,34.0197,-117.9587
91722,"Covina",CA,34.0972,-117.9065
91723,"Covina",CA,34.086,-117.8843
91724,"Covina",CA,34.0938,-117.856
91729,"Rancho Cucamonga",CA,34.1064,-117.5931
91730,"Rancho Cucamonga",CA,34.107,-117.5941
91731,"El Monte",CA,34.0791,-118.0371
91732,"El Monte",CA,34.0705,-118.0149
91733,"South El Monte",CA,34.0557,-118.0444
91734,"El Monte",CA,34.0686,-118.0276
91735,"El Monte",CA,34.0686,-118.0276
91737,"Rancho Cucamonga",CA,34.1467,-117.5803
91739,"Rancho Cucamonga",CA,34.1705,-117.5182
91740,"Glendora",CA,34.1287,-117.8552
91741,"Glendora",CA,34.1537,-117.8437
91743,"Guasti",CA,34.065,-117.5864
91744,"La Puente",CA,34.0289,-117.9373
91745,"Hacienda Heights",CA,33.9977,-117.9652
91746,"La Puente",CA,34.0443,-117.9862
91747,"La Puente",CA,34.02,-117.9495
91748,"Rowland Heights",CA,33.9818,-117.8969
91749,"La Puente",CA,34.02,-117.9495
91750,"La Verne",CA,34.1159,-117.7708
91752,"Mira Loma",CA,33.9938,-117.5236
91754,"Monterey Park",CA,34.0534,-118.1271
91755,"Monterey Park",CA,34.048,-118.115
91756,"Monterey Park",CA,34.0625,-118.1228
91758,"Ontario",CA,34.0633,-117.6509
91759,"Mount Baldy",CA,34.2361,-117.6601
91761,"Ontario",CA,34.0316,-117.6187
91762,"Ontario",CA,34.0584,-117.6665
91763,"Montclair",CA,34.0733,-117.6987
91764,"Ontario",CA,34.0763,-117.6254
91765,"Diamond Bar",CA,34.0066,-117.8098
91766,"Pomona",CA,34.0418,-117.7569
91767,"Pomona",CA,34.0812,-117.7362
91768,"Pomona",CA,34.0662,-117.7763
91769,"Pomona",CA,34.0553,-117.7523
91770,"Rosemead",CA,34.0658,-118.0853
91771,"Rosemead",CA,34.0806,-118.0728
91772,"Rosemead",CA,34.0806,-118.0728
91773,"San Dimas",CA,34.1023,-117.8169
91775,"San Gabriel",CA,34.1155,-118.0857
91776,"San Gabriel",CA,34.089,-118.0955
91778,"San Gabriel",CA,34.0961,-118.1058
91780,"Temple City",CA,34.1016,-118.0537
91784,"Upland",CA,34.141,-117.6581
91785,"Upland",CA,34.1144,-117.6583
91786,"Upland",CA,34.1144,-117.6583
91788,"Walnut",CA,34.0203,-117.8653
91789,"Walnut",CA,34.0183,-117.8546
91790,"West Covina",CA,34.0673,-117.9366
91791,"West Covina",CA,34.0653,-117.8978
91792,"West Covina",CA,34.0229,-117.8975
91793,"West Covina",CA,34.0686,-117.939
91801,"Alhambra",CA,34.0914,-118.1293
91802,"Alhambra",CA,34.0953,-118.127
91803,"Alhambra",CA,34.0745,-118.1434
91804,"Alhambra",CA,34.0953,-118.127
91896,"Alhambra",CA,34.0953,-118.127
91899,"Alhambra",CA,34.0953,-118.127
91901,"Alpine",CA,32.8282,-116.7543
91902,"Bonita",CA,32.6671,-117.0221
91903,"Alpine",CA,32.8351,-116.7664
91905,"Boulevard",CA,32.6719,-116.32
91906,"Campo",CA,32.6605,-116.4905
91908,"Bonita",CA,32.6578,-117.03
91909,"Chula Vista",CA,32.6401,-117.0842
91910,"Chula Vista",CA,32.6371,-117.0676
91911,"Chula Vista",CA,32.6084,-117.0565
91912,"Chula Vista",CA,32.6401,-117.0842
91913,"Chula Vista",CA,32.6513,-116.9852
91914,"Chula Vista",CA,32.6587,-116.9652
91915,"Chula Vista",CA,32.6315,-116.9408
91916,"Descanso",CA,32.873,-116.6027
91917,"Dulzura",CA,32.6152,-116.7285
91921,"Chula Vista",CA,32.6401,-117.0842
91931,"Guatay",CA,32.8497,-116.5583
91932,"Imperial Beach",CA,32.5783,-117.1148
91933,"Imperial Beach",CA,32.5839,-117.1131
91934,"Jacumba",CA,32.6249,-116.1952
91935,"Jamul",CA,32.7163,-116.8323
91941,"La Mesa",CA,32.7604,-117.0115
91942,"La Mesa",CA,32.7835,-117.0189
91943,"La Mesa",CA,32.7678,-117.0231
91944,"La Mesa",CA,32.7678,-117.0231
91945,"Lemon Grove",CA,32.7332,-117.0326
91946,"Lemon Grove",CA,32.7426,-117.0314
91948,"Mount Laguna",CA,32.8676,-116.4206
91950,"National City",CA,32.6749,-117.0897
91951,"National City",CA,32.6781,-117.0992
91962,"Pine Valley",CA,32.835,-116.5127
91963,"Potrero",CA,32.6205,-116.6037
91976,"Spring Valley",CA,32.7448,-116.9989
91977,"Spring Valley",CA,32.724,-116.9976
91978,"Spring Valley",CA,32.7329,-116.9596
91979,"Spring Valley",CA,32.7448,-116.9989
91980,"Tecate",CA,32.5889,-116.6192
91987,"Tecate",CA,32.5773,-116.6275
92003,"Bonsall",CA,33.294,-117.1897
92004,"Borrego Springs",CA,33.2386,-116.3514
92007,"Cardiff By The Sea",CA,33.023,-117.2745
92008,"Carlsbad",CA,33.1602,-117.325
92009,"Carlsbad",CA,33.0954,-117.2619
92010,"Carlsbad",CA,33.1639,-117.3009
92011,"Carlsbad",CA,33.1072,-117.2943
92013,"Carlsbad",CA,33.1581,-117.3506
92014,"Del Mar",CA,32.9665,-117.249
92018,"Carlsbad",CA,33.1581,-117.3506
